Municípios,Código,Gentílico,População 2010,Área da unidade territorial (km²),Densidade demográfica (hab/km²),PIB a preços correntes
Itariri,3523305,itaririense,15.471,"273,67","56,5",121.213
Itatiba,3523404,itatibense,101.471,"322,23","314,9",3.431.918
Itatinga,3523503,itatinguense,18.052,"979,82","18,4",302.051
Itirapina,3523602,itirapinense,15.524,"564,76","27,5",297.388
Itirapuã,3523701,itirapuãnense,5.914,"161,12","36,7",76.97
Itobi,3523800,itobiano,7.546,"139,21","54,2",83.203
Itu,3523909,ituano,154.147,"639,58","241,0",4.966.372
Itupeva,3524006,itupevense,44.859,"200,82","223,4",2.178.862
Ituverava,3524105,ituveravense,38.695,"705,24","54,9",666.035
Jaborandi,3524204,jaborandiense,6.592,"273,44","24,1",97.615
Jaboticabal,3524303,jaboticabalense,71.662,"706,60","101,4",1.842.391
Jacareí,3524402,jacareiense,211.214,"464,27","454,9",5.729.981
Jaci,3524501,jaciense,5.657,"145,52","38,9",196.719
Jacupiranga,3524600,jacupiranguense,17.208,"704,09","24,4",234.914
Jaguariúna,3524709,jaguariunense,44.311,"141,40","313,4",3.364.415
Jales,3524808,jalesense,47.012,"368,52","127,6",864.868
Jambeiro,3524907,jambeirense,5.349,"184,41","29,0",890.681
Jandira,3525003,jandirense,108.344,"17,45","6.207,8",1.818.176
Jardinópolis,3525102,jardinopolense,37.661,"502,22","75,0",605.858
Jarinu,3525201,jarinuense,23.847,"207,64","114,9",549.542
Jaú,3525300,jauense,131.04,"685,76","191,1",2.312.791
Jeriquara,3525409,jeriquarense,3.16,"141,97","22,3",87.184
Joanópolis,3525508,joanopolitano,11.768,"374,28","31,4",145.587
João Ramalho,3525607,ramalhense,4.15,"415,25","10,0",103.657
José Bonifácio,3525706,bonifacense,32.763,"859,95","38,1",811.614
Júlio Mesquita,3525805,júlio-mesquitense,4.43,"128,22","34,6",48.529
Jumirim,3525854,jumirense,2.798,"56,69","49,4",76.359
Jundiaí,3525904,jundiaiense,370.126,"431,17","858,4",21.806.787
Junqueirópolis,3526001,junqueiropolense,18.726,"582,96","32,1",332.074
Juquiá,3526100,juquiaense,19.246,"812,75","23,7",204.492
